local_filename,category,source_page_url,original_url,download_url,download_variant,download_width,download_height,title,author,credit,license,license_url,mime,width,height,sha256,review_disposition,review_note,collected_at
"raw/commons-approved/ogasawara-marine-center/ogasawara-marine-center-91d3e2ec5e7c.jpg","Category:Ogasawara Marine Center","https://commons.wikimedia.org/wiki/File:Feeding_sea_turtles_at_Ogasawara_Marine_Center.jpg","https://upload.wikimedia.org/wikipedia/commons/0/00/Feeding_sea_turtles_at_Ogasawara_Marine_Center.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Feeding_sea_turtles_at_Ogasawara_Marine_Center.jpg/3840px-Feeding_sea_turtles_at_Ogasawara_Marine_Center.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","thumbnail_2048","2048","1365","File:Feeding sea turtles at Ogasawara Marine Center.jpg","Yasu ( talk )","Own work","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0","image/jpeg","4727","3151","e895bb3d651c9b8afefe08ab209a2b67318c610a226f00a707c5f4cfbaff23d2","needs_human_review","","2026-08-14T03:42:27Z"
"raw/commons-approved/ogasawara-marine-center/ogasawara-marine-center-ee55db1ee4a9.jpg","Category:Ogasawara Marine Center","https://commons.wikimedia.org/wiki/File:Green_sea_turtle_at_Ogasawara_Marine_Center.jpg","https://upload.wikimedia.org/wikipedia/commons/f/f8/Green_sea_turtle_at_Ogasawara_Marine_Center.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Green_sea_turtle_at_Ogasawara_Marine_Center.jpg/3840px-Green_sea_turtle_at_Ogasawara_Marine_Center.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","thumbnail_2048","2048","1365","File:Green sea turtle at Ogasawara Marine Center.jpg","Yasu ( talk )","Own work","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0","image/jpeg","5472","3648","51ec98204855807cbfe7fbbec397ac7850c1ca04d31543f742d03e0fa9894f37","needs_human_review","","2026-08-14T03:42:27Z"
"raw/commons-approved/ogasawara-marine-center/ogasawara-marine-center-169c389b4114.jpg","Category:Ogasawara Marine Center","https://commons.wikimedia.org/wiki/File:Ogasawara_Marine_Center.jpg","https://upload.wikimedia.org/wikipedia/commons/8/8b/Ogasawara_Marine_Center.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Ogasawara_Marine_Center.jpg/3840px-Ogasawara_Marine_Center.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","thumbnail_2048","2048","1365","File:Ogasawara Marine Center.jpg","Yasu ( talk )","Own work","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0","image/jpeg","4079","2719","c10cf53bd3dcf4461f4f523c0415e4e387c33ba2ba7d8806968dad2d466fe700","needs_human_review","","2026-08-14T03:42:27Z"
"raw/commons-approved/ogasawara-marine-center/ogasawara-marine-center-8130c07f9752.jpg","Category:Ogasawara Marine Center","https://commons.wikimedia.org/wiki/File:%E5%B0%8F%E7%AC%A0%E5%8E%9F_%E6%B5%B7%E6%B4%8B%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC_(37921799775).jpg","https://upload.wikimedia.org/wikipedia/commons/4/4a/%E5%B0%8F%E7%AC%A0%E5%8E%9F_%E6%B5%B7%E6%B4%8B%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC_%2837921799775%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/%E5%B0%8F%E7%AC%A0%E5%8E%9F_%E6%B5%B7%E6%B4%8B%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC_%2837921799775%29.jpg/3840px-%E5%B0%8F%E7%AC%A0%E5%8E%9F_%E6%B5%B7%E6%B4%8B%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC_%2837921799775%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","thumbnail_2048","2048","1368","File:小笠原 海洋センター (37921799775).jpg","TAKA@P.P.R.S","小笠原諸島旅行記-100.jpg","CC BY-SA 2.0","https://creativecommons.org/licenses/by-sa/2.0","image/jpeg","4240","2832","90909d0b17767f2a05e5ae782ff0122996a6217238f513f378ce2f0decda15f2","needs_human_review","","2026-08-14T03:42:27Z"
"raw/commons-approved/pawikan-conservation-center/pawikan-conservation-center-3131c2608c08.jpg","Category:Pawikan Conservation Center","https://commons.wikimedia.org/wiki/File:Morong,Bataanjf7085_01.JPG","https://upload.wikimedia.org/wikipedia/commons/0/0c/Morong%2CBataanjf7085_01.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/0/0c/Morong%2CBataanjf7085_01.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","original","4608","3456","File:Morong,Bataanjf7085 01.JPG","Ramon FVelasquez","Own work","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0","image/jpeg","4608","3456","a3ac2df8a3efc662b29e89c6a194939029c1d35eada44ba5d939c5cd70358e59","hard_negative_candidate","Visual review: indoor/painted turtle display or museum signage; do not use as a hatchery-positive image.","2026-08-14T03:42:27Z"
"raw/commons-approved/pawikan-conservation-center/pawikan-conservation-center-abf0131489ff.jpg","Category:Pawikan Conservation Center","https://commons.wikimedia.org/wiki/File:Morong,Bataanjf7085_02.JPG","https://upload.wikimedia.org/wikipedia/commons/1/16/Morong%2CBataanjf7085_02.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/1/16/Morong%2CBataanjf7085_02.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","original","4608","3456","File:Morong,Bataanjf7085 02.JPG","Ramon FVelasquez","Own work","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0","image/jpeg","4608","3456","f4702238b6877f9c94500bc58f4011f64c88ccee1798b9f72d049b4831ffeb52","hard_negative_candidate","Visual review: indoor/painted turtle display or museum signage; do not use as a hatchery-positive image.","2026-08-14T03:42:27Z"
"raw/commons-approved/pawikan-conservation-center/pawikan-conservation-center-e04d8474331b.jpg","Category:Pawikan Conservation Center","https://commons.wikimedia.org/wiki/File:Morong,Bataanjf7085_03.JPG","https://upload.wikimedia.org/wikipedia/commons/b/bf/Morong%2CBataanjf7085_03.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/b/bf/Morong%2CBataanjf7085_03.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","original","4608","3456","File:Morong,Bataanjf7085 03.JPG","Ramon FVelasquez","Own work","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0","image/jpeg","4608","3456","c339144ac36809ac8a7f256966f673d640ad42377e1993b2bb63114f58c426f5","hard_negative_candidate","Visual review: indoor/painted turtle display or museum signage; do not use as a hatchery-positive image.","2026-08-14T03:42:27Z"
"raw/commons-approved/pawikan-conservation-center/pawikan-conservation-center-002d8b42d1ed.jpg","Category:Pawikan Conservation Center","https://commons.wikimedia.org/wiki/File:Morong,Bataanjf7085_04.JPG","https://upload.wikimedia.org/wikipedia/commons/7/71/Morong%2CBataanjf7085_04.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/7/71/Morong%2CBataanjf7085_04.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","original","4608","3456","File:Morong,Bataanjf7085 04.JPG","Ramon FVelasquez","Own work","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0","image/jpeg","4608","3456","201d5f99095cfa69fd3492fb5317ec22281b2e3a3ca15b4b41e4206d61b73e03","hard_negative_candidate","Visual review: indoor/painted turtle display or museum signage; do not use as a hatchery-positive image.","2026-08-14T03:42:27Z"
"raw/commons-approved/pawikan-conservation-center/pawikan-conservation-center-decfd37450c0.jpg","Category:Pawikan Conservation Center","https://commons.wikimedia.org/wiki/File:Morong,Bataanjf7085_05.JPG","https://upload.wikimedia.org/wikipedia/commons/d/dc/Morong%2CBataanjf7085_05.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/d/dc/Morong%2CBataanjf7085_05.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","original","4608","3456","File:Morong,Bataanjf7085 05.JPG","Ramon FVelasquez","Own work","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0","image/jpeg","4608","3456","8675ab1baa7697410892df4af7eb1c377df61ca4d334f9d109d859f5251982e0","hard_negative_candidate","Visual review: indoor/painted turtle display or museum signage; do not use as a hatchery-positive image.","2026-08-14T03:42:27Z"
"raw/commons-approved/pawikan-conservation-center/pawikan-conservation-center-364f9ed570fe.jpg","Category:Pawikan Conservation Center","https://commons.wikimedia.org/wiki/File:Morong,Bataanjf7085_06.JPG","https://upload.wikimedia.org/wikipedia/commons/f/fc/Morong%2CBataanjf7085_06.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/f/fc/Morong%2CBataanjf7085_06.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","original","4608","3456","File:Morong,Bataanjf7085 06.JPG","Ramon FVelasquez","Own work","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0","image/jpeg","4608","3456","abb3d652399c8960fd88de048e96bbea01070fd4c108609364712235d96c1a23","hard_negative_candidate","Visual review: indoor/painted turtle display or museum signage; do not use as a hatchery-positive image.","2026-08-14T03:42:27Z"
