"local_filename","source_page_url","title","category","disposition","rationale"
"raw/commons-approved/ogasawara-marine-center/ogasawara-marine-center-91d3e2ec5e7c.jpg","https://commons.wikimedia.org/wiki/File:Feeding_sea_turtles_at_Ogasawara_Marine_Center.jpg","File:Feeding sea turtles at Ogasawara Marine Center.jpg","Category:Ogasawara Marine Center","hard_negative_candidate","Concrete water tank with turtle feeding; no sand hatchery or nesting enclosure."
"raw/commons-approved/ogasawara-marine-center/ogasawara-marine-center-ee55db1ee4a9.jpg","https://commons.wikimedia.org/wiki/File:Green_sea_turtle_at_Ogasawara_Marine_Center.jpg","File:Green sea turtle at Ogasawara Marine Center.jpg","Category:Ogasawara Marine Center","hard_negative_candidate","Turtle close-up in water; no hatchery bed or enclosure context."
"raw/commons-approved/ogasawara-marine-center/ogasawara-marine-center-169c389b4114.jpg","https://commons.wikimedia.org/wiki/File:Ogasawara_Marine_Center.jpg","File:Ogasawara Marine Center.jpg","Category:Ogasawara Marine Center","hard_negative_candidate","Exterior facility building only; no hatchery bed or enclosure visible."
"raw/commons-approved/ogasawara-marine-center/ogasawara-marine-center-8130c07f9752.jpg","https://commons.wikimedia.org/wiki/File:%E5%B0%8F%E7%AC%A0%E5%8E%9F_%E6%B5%B7%E6%B4%8B%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC_(37921799775).jpg","File:小笠原 海洋センター (37921799775).jpg","Category:Ogasawara Marine Center","hard_negative_candidate","Exterior facility entrance only; no hatchery bed or enclosure visible."
"raw/commons-approved/pawikan-conservation-center/pawikan-conservation-center-ad7bdcb024d1.jpg","https://commons.wikimedia.org/wiki/File:Morong,Bataanjf7085_12.JPG","File:Morong,Bataanjf7085 12.JPG","Category:Pawikan Conservation Center","hard_negative_candidate","Indoor interpretive display with turtle sculptures; not a real sand hatchery."
"raw/commons-approved/pawikan-conservation-center/pawikan-conservation-center-5fa53598a53f.jpg","https://commons.wikimedia.org/wiki/File:Morong,Bataanjf7136_01.JPG","File:Morong,Bataanjf7136 01.JPG","Category:Pawikan Conservation Center","hard_negative_candidate","Indoor mural and sculpture display; not a real sand hatchery."
"raw/commons-approved/pawikan-conservation-center/pawikan-conservation-center-3e08ba676ba8.jpg","https://commons.wikimedia.org/wiki/File:Morong,Bataanjf7136_02.JPG","File:Morong,Bataanjf7136 02.JPG","Category:Pawikan Conservation Center","hard_negative_candidate","Indoor artifact display; not a real sand hatchery."
"raw/commons-approved/pawikan-conservation-center/pawikan-conservation-center-ec72f1c8b901.jpg","https://commons.wikimedia.org/wiki/File:Morong,Bataanjf7136_03.JPG","File:Morong,Bataanjf7136 03.JPG","Category:Pawikan Conservation Center","hard_negative_candidate","Painted educational turtle model; not a real nesting area."
"raw/commons-approved/pawikan-conservation-center/pawikan-conservation-center-5f53393c1a5c.jpg","https://commons.wikimedia.org/wiki/File:Morong,Bataanjf7136_04.JPG","File:Morong,Bataanjf7136 04.JPG","Category:Pawikan Conservation Center","partial_or_ambiguous","Bamboo-fenced facility area is visible but the potential nest bed is occluded."
"raw/commons-approved/pawikan-conservation-center/pawikan-conservation-center-839a4ec5bec2.jpg","https://commons.wikimedia.org/wiki/File:Morong,Bataanjf7136_05.JPG","File:Morong,Bataanjf7136 05.JPG","Category:Pawikan Conservation Center","hard_negative_candidate","Water pond with turtles; not a sand nesting enclosure."
"raw/commons-approved/pawikan-conservation-center/pawikan-conservation-center-5ae9cfab98d3.jpg","https://commons.wikimedia.org/wiki/File:Morong,Bataanjf7136_06.JPG","File:Morong,Bataanjf7136 06.JPG","Category:Pawikan Conservation Center","hard_negative_candidate","Adult turtles in a covered water tank; not a sand nesting enclosure."
"raw/commons-approved/pawikan-conservation-center/pawikan-conservation-center-f71dc772e72c.jpg","https://commons.wikimedia.org/wiki/File:Morong,Bataanjf7136_07.JPG","File:Morong,Bataanjf7136 07.JPG","Category:Pawikan Conservation Center","hard_negative_candidate","Adult turtle in a water tank; not a sand nesting enclosure."
"raw/commons-approved/pawikan-conservation-center/pawikan-conservation-center-a6e13f7a87d6.jpg","https://commons.wikimedia.org/wiki/File:Morongjf7073_01.JPG","File:Morongjf7073 01.JPG","Category:Pawikan Conservation Center","hard_negative_candidate","Hatchlings in a plastic tray; no whole hatchery or sand bed visible."
"raw/commons-approved/pawikan-conservation-center/pawikan-conservation-center-77d113f5a8d6.jpg","https://commons.wikimedia.org/wiki/File:Morongjf7073_02.JPG","File:Morongjf7073 02.JPG","Category:Pawikan Conservation Center","hard_negative_candidate","Adult turtle close-up in a water tank; no nest bed visible."
"raw/commons-approved/pawikan-conservation-center/pawikan-conservation-center-4258d8abdb47.jpg","https://commons.wikimedia.org/wiki/File:Morongjf7073_03.JPG","File:Morongjf7073 03.JPG","Category:Pawikan Conservation Center","hard_negative_candidate","Species information sign only; no hatchery visible."
"raw/commons-approved/pawikan-conservation-center/pawikan-conservation-center-7d7e41e01d91.jpg","https://commons.wikimedia.org/wiki/File:Morongjf7073_04.JPG","File:Morongjf7073 04.JPG","Category:Pawikan Conservation Center","hard_negative_candidate","Adult turtle close-up in a water tank; no nest bed visible."
"raw/commons-approved/pawikan-conservation-center/pawikan-conservation-center-533a0b8e8231.jpg","https://commons.wikimedia.org/wiki/File:Morongjf7073_05.JPG","File:Morongjf7073 05.JPG","Category:Pawikan Conservation Center","hard_negative_candidate","Adult turtle close-up in a water tank; no nest bed visible."
"raw/commons-approved/pawikan-conservation-center/pawikan-conservation-center-ddb32c3fc5cd.jpg","https://commons.wikimedia.org/wiki/File:Morongjf7073_06.JPG","File:Morongjf7073 06.JPG","Category:Pawikan Conservation Center","positive_candidate","Wide unobstructed view of a real sand nesting bed with many marked mesh-protected nests."
"raw/commons-approved/pawikan-conservation-center/pawikan-conservation-center-3f7271757f79.jpg","https://commons.wikimedia.org/wiki/File:Morongjf7073_07.JPG","File:Morongjf7073 07.JPG","Category:Pawikan Conservation Center","positive_candidate","Wide view of a real sand hatchery with individually marked mesh-protected nests."
